time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-02-27T13:45:05.430Z,-7.2878,122.532,552.33,7,mww,,14,1.37,1.06,us,usc000ttkd,2015-03-02T15:10:01.774Z,"131km N of Nebe, Indonesia",earthquake
2015-02-22T14:23:13.460Z,18.6697,-106.8437,10,6.2,mwb,,70,5.397,0.66,us,usc000tsak,2015-02-23T19:12:05.000Z,"218km SW of Tomatlan, Mexico",earthquake
2015-02-21T10:13:54.120Z,39.8459,143.4563,10,6,mwb,,41,2.178,0.71,us,usc000ts49,2015-02-22T08:01:36.991Z,"130km E of Miyako, Japan",earthquake
2015-02-20T04:25:24.310Z,39.8472,143.569,13.54,6.3,mwp,,51,2.188,0.96,us,usc000trsc,2015-02-21T12:15:34.087Z,"140km E of Miyako, Japan",earthquake
2015-02-19T13:18:32.230Z,-16.4402,168.1194,10,6.4,mwc,,18,1.323,1.14,us,usc000trf9,2015-02-20T15:31:38.000Z,"83km ESE of Lakatoro, Vanuatu",earthquake
2015-02-16T23:06:27.950Z,39.8297,142.8901,23,6.7,mww,,38,1.945,1,us,usb000tpvj,2015-02-21T12:28:22.794Z,"83km ENE of Miyako, Japan",earthquake
2015-02-16T22:00:53.590Z,-55.52,-28.2591,13,6.2,mww,,30,4.908,0.91,us,usb000tpuw,2015-02-25T05:11:17.495Z,"146km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake
2015-02-13T20:06:31.540Z,22.6207,121.4249,24.31,6.2,mww,,14,0.374,1.06,us,usb000tp6y,2015-02-18T18:58:05.075Z,"32km ESE of Taitung City, Taiwan",earthquake
2015-02-13T18:59:12.100Z,52.6354,-31.8837,16.4,7.1,mww,,17,11.279,0.76,us,usb000tp5q,2015-02-16T02:25:02.693Z,"Northern Mid-Atlantic Ridge",earthquake
2015-02-11T18:57:22.470Z,-23.1065,-66.691,223,6.7,mww,,16,2.105,1.01,us,usc000tp1s,2015-02-14T12:41:05.884Z,"103km W of El Aguilar, Argentina",earthquake
2015-02-02T10:49:48.740Z,-32.7149,-67.0615,172.29,6.3,mwp,,27,1.804,1.48,us,usc000tkwv,2015-02-16T00:38:14.217Z,"87km NW of La Punta, Argentina",earthquake
2015-01-28T02:43:19.350Z,-20.9665,-178.3032,484.12,6.2,mww,,19,4.701,1.11,us,usb000tism,2015-02-06T04:57:20.277Z,"54km SE of Ndoi Island, Fiji",earthquake
2015-01-23T03:47:26.970Z,-17.0275,168.5275,219.29,6.8,mww,,13,2.021,0.69,us,usc000tihy,2015-02-08T00:16:20.853Z,"81km NNE of Port-Vila, Vanuatu",earthquake
2015-01-07T05:07:07.510Z,5.9045,-82.6576,8,6.5,mww,,61,4.318,1.17,us,usc000tcba,2015-02-17T09:11:38.860Z,"236km S of Punta de Burica, Panama",earthquake
2014-12-30T21:17:23.920Z,-20.3263,-178.5639,599.28,6,mww,,25,4.103,0.73,us,usc000tauh,2015-02-05T17:03:36.959Z,"38km NNE of Ndoi Island, Fiji",earthquake
2014-12-29T09:29:37.390Z,8.6341,121.5213,8,6.1,mww,,35,4.31,1.17,us,usc000taik,2015-02-12T14:30:16.979Z,"109km SSE of Cagayancillo, Philippines",earthquake
2014-12-21T11:34:13.570Z,2.0892,126.6483,41,6.3,mww,,19,1.492,0.98,us,usc000t8vq,2015-01-31T07:44:49.322Z,"156km WNW of Tobelo, Indonesia",earthquake
2014-12-10T21:03:39.260Z,25.5403,122.4503,256,6.1,mww,,10,1.031,0.77,us,usc000t5bu,2015-01-28T22:41:43.871Z,"84km ENE of Keelung, Taiwan",earthquake
2014-12-08T08:54:52.520Z,7.9401,-82.6865,20,6.6,mww,,43,2.485,1.01,us,usc000t4iq,2015-01-29T00:09:22.293Z,"22km ESE of Punta de Burica, Panama",earthquake
